"No","受付日時","顧客会社名","ProjectName","発生箇所","受付概要","受付詳細","対応詳細","原因","関連インシデントNo","インシデント分類","関連課題NO","課題","非公開"
"00264","2010/7/8","プリマハム","原材料品質保証システム","画面","ウィンドウのサイズが小さく表示される","ウィンドウのサイズが小さく表示（2/3程）される。スクロールは出来るので、作業は行えるが大きく出来ないか。本日の午後から急に画面が小さくなってしまった。他のＰＣも同様。","スミス内ではプログラムで設定等はしていないことを確認。ＩＥの仕様である事が考えられるため、Ｃｔｒｌ+Ｎボタンを押して頂き、ウィンドウを最大化。その後Ｃｔｒｌを押しながら画面を閉じて頂き、再度ログインを試して頂く。","","","","","","FALSE"
"00271","2010/7/8","日本アクセス","原材料品質保証システム","画面","画面のサイズが縮小状態のまま固定されている","ウィンドウのサイズが小さく表示（2/3程）される。スクロールは出来るので、作業は行えるが大きく出来ないか。本日の午後から急に画面が小さくなってしまった。他のＰＣも同様。","スミス内ではプログラムで設定等はしていないことを確認。ＩＥの仕様である事が考えられるため、Ｃｔｒｌ+Ｎボタンを押して頂き、ウィンドウを最大化。その後Ｃｔｒｌを押しながら画面を閉じて頂き、再度ログインを試して頂く。","","","","","","FALSE"
"00293","2010/7/9","日本アクセス","原材料品質保証システム","調達品質情報","原材料は引当できる状態か知りたい","ＳＴＳが承認済にあったら商品規格書で引当できると思うが、開発ベンダーから引当ができないと問合せがあった。","引当は出来る状態。引当手順や商品ＣＤなど詳細を聞きたいので、開発ベンダーよりコールセンター宛に連絡を頂く事で了承。","操作","","","","","FALSE"
"00313","2010/7/9","プリマハム","原材料品質保証システム","調達品質情報","調達品質情報を新規登録したが検索に出てこない","調達品質情報を新規登録したが検索に出てこない。一時保存後、完了のメッセージが出る前に画面を移動してしまったとの事。","新規登録の検索画面を見ていたとのことで、食材一覧検索を見て頂いたところ表示された。","","","","","","FALSE"
"00318","2010/7/9","伊藤忠プラスチックス","原材料品質保証システム","調達品質情報","調達品質情報をダウンローﾄﾞしたが、「暫定版」と表示されている","調達品質情報をダウンローﾄﾞしたが、「暫定版」と表示されている。価格を変更した時に出るのはわかるが価格は変更していない。","改訂版を出されていて、内容を確認したところ価格が変更されている事を確認。","","","","","","FALSE"
"00334","2010/7/9","ヤマキ","原材料品質保証システム","調達品質情報","12日　原材料のバージョンアップができない","価格変更があり、品証が始まる前の以降データのため、内容を入力・変更したいが、バージョンアップボタンが出てこず、変更できない。伝票で対応したので急ぎの依頼ではない。",""メーカー権限で確認したが、バージョンアップボタンを確認できず、開発課へ調査依頼。親子関係のある原材料でバージョンアップが出来ないという不具合発生中との事。プログラム修正には1週間はかかる（開発　高橋）急ぎであれば一時対応として、開発課で承認済から一時保存状態にし、編集が出来る状態にする旨を連絡。"","","","","","","FALSE"
"00391","2010/7/13","FM品質管理部　表示原材料部","原材料品質保証システム","ラベル用データ抽出","ラベル用データ抽出でダウンロードしたデータに不足がある","先月までラベル用データをお送り頂いており、今月から上記機能を使用してダウンロードしたデータに1000件位の不足がある。メーカーに戻っている原材料が検索されていない気もするがとの事。上記は確認できない原材料のひとつをお聞きしました。<以下対応内容>高橋さんへ確認。バージョンアップしてすぐにメーカーで一時保存された原材料に関しては対象外でダウンロードされないとのこと。また最新バージョンのみが対象。席を外されているとの事で折返し待ち。","15:13田淵様よりご連絡あり。上記をご説明したところ、一時保存状態の場合でもバージョンアップ前に状態でよいので抽出されないと困るとの事。抽出条件を変更可能か確認しご連絡する旨をお伝え。→一時保存含む最新バージョンを全て出すか、バージョンアップ前のものを出すか確認のご連絡→バージョンアップ前で確定状態のものとの事。しかし本部内で確認しもし変更する場合は再度ご連絡頂けるとの事で、一旦完了。","","","","","","FALSE"
"00394","2010/7/13","ケンコーマヨネーズ","原材料品質保証システム","調達品質情報","原材料台帳の引き戻しができない","原材料台帳の引き戻しができない。ベンダーで引当済かどうか確認してほしい。","確認して折り返し。高橋さんに確認。工場配信済みで本来ベンダーと引き当たることはないデータだったため、削除して引き戻しできる状態に直しましたとのこと。メーカーへご連絡し、引き戻し可能な旨をお伝えしました。","","","","","","FALSE"
"00410","2010/7/14","永谷園","原材料品質保証システム","食材事前情報","食材事前情報を登録し申請しようとすると文字エラーがでる。","食材事前情報を登録し申請しようとすると製造会社コードが半角ではありませんとエラーがでるがそれがどこかわからない。","確認して折り返し。前田さんへ確認。CDを入力する欄に会社名を入力しているのではないかとの事。12:40以降にご連絡予定。12:45ご連絡し確認。上記指摘事項をご確認頂き、登録申請できたことを確認","","","","","","FALSE"
"00419","2010/7/14","アリアケジャパン","原材料品質保証システム","調達品質情報","原材料を削除したらシステムエラーが出た",""原材料を使用しないので削除したらシステムエラーが出た。やり直しても同様。<以下対応内容>メールにて画面をお送り頂く様ご案内。詳細を表示して頂いた所、「権限がない」との事。大島さんに確認。申請者と同じ方でないと削除できないとのことで、岩城様というご担当者様へ削除して頂くようご案内。→岩城様で行っても削除できないとの事。"","申請日を確認した所、岩城様のIDの開始日より早く、申請を実際に上げた方が削除されている為。→開発高橋さんへ依頼。ID:0050004301を使用可能にすれば削除できるとの事。荒牧さんへ確認。取消日を入力→申請でよいとの事。ヤギハシ様へご連絡したが取消日は入れられないとの事。上記IDをお伝えし、アクセス様にご相談頂く様ご案内。","","","","","","FALSE"
"00505","2010/7/20","ケンコーマヨネーズ","原材料品質保証システム","調達品質情報","引き当たっている工場を教えてほしい。","内容を修正したいので、引き当たっている工場を教えてほしい。","引当しているベンダーはなく、メーカー側で引戻しボタンが表示されている事を伝えた。","","","","","","FALSE"
"00520","2010/7/21","宝幸","原材料品質保証システム","調達品質情報","調達品質情報でアクセスから差戻しになった原材料の編集ができない","調達品質情報でアクセスから差戻しになった原材料の編集ができない。ベンダー引当は解除してもらったはずだがとの事。品質情報は後藤様編集可。調達情報は開発Vにフローがある。","高橋さんへ確認。上記商品で引当が残っているため引き戻しできなかったとの事。ご連絡するが折り返し待ち。→10:59　留守電へ上記伝言済。11:32後藤様よりご連絡あり。上記をご説明、ご了承済。12:08ベンダーに話したが解除されているとの事。ベンダー側で上記商品の原価計算書画面から該当商品を一旦削除して頂くようご案内。→14:10ベンダーに連絡したが判らないと言われるとの事。ファーストF若宮様042-632-6321へご連絡し、直接ご説明。引戻し可能になったことを確認。","","","","","","FALSE"
"00522","2010/7/21","正興食品","原材料品質保証システム","差戻しメール","原材料の差戻しメールが届かなくなった",""原材料の品質情報の差戻しメールが届かない。20日に日本アクセスが差戻しをしたとの事。原材料CD:510109408、510299307　メールアドレス：seiko-foods@msb.biglobe.ne.jp"",""正興食品は15日に新しい会社CD:00500161を登録している。今回差戻しメールが届かないという原材料はこの会社CDで登録しているもの。ユーザマスタを確認したが、佐藤様のID（00500161）で登録されているメールアドレス他、登録内容を確認し、問題ない事を伝えた。再度発生した際にまたご連絡を頂く事となった。"","","","","","","FALSE"
"00523","2010/7/21","山崎製パン","原材料品質保証システム","画面","ウィンドウのサイズが縮小状態のまま固定されている","ウィンドウのサイズが小さいまま固定されてしまっているため、Web画面が全て見えない。","スミス内ではプログラムで設定等はしていないことを確認。ＩＥの仕様である事が考えられるため、Ｃｔｒｌ+Ｎボタンを押して頂き、ウィンドウを最大化。その後Ｃｔｒｌを押しながら画面を閉じて頂き、再度ログインを試して頂く。","","","","","","FALSE"
"00528","2010/7/21","極洋","原材料品質保証システム","調達品質情報","原材料の編集ができない",""原材料台帳を削除したいが、編集ができない。調達情報：メーカー引戻し　品質情報：承認済"",""移行データのためフローに問題がある事を開発課で確認。キベ様了承後、開発課で一時保存状態にし、メーカー側で削除をして頂く。"","","","","","","FALSE"
"00571","2010/7/26","伊藤ハム","原材料品質保証システム","食材事前情報","原材料の字数が多く、収まらない","原材料の字数が17文字程あるが、字数が多いのか入力出来ない。前回別の原材料申請をしたときに、次回からFM品質管理部から原材料名は最後まで入力して下さいと指摘されているがどうしたらいいか。","原材料名は全角１２文字まで。字数を増やすことはできないため、省略方法等は日本アクセスに相談して頂く。","","","","","","FALSE"
"00572","2010/7/26","キューピー","原材料品質保証システム","調達品質情報","2商品で編集できない","上記+CD：340572205　ＱＰパンプキンスープ の原材料が編集できない","規格書ではベンダーに引き当たっていない。確認して折り返し。フローが卵は品管に、スープは規格書にある為、アクセスにご連絡して頂き、差戻し依頼をして頂くよう、留守電へご伝言済。27日ご連絡したが留守電状態。16:55ご連絡がついたため、上記を再度ご伝言、ご了承頂きました。","","","","","","FALSE"
"00628","2010/8/2","グリーンデリカ","原材料品質保証システム","調達品質情報","最新Verの原材料台帳を見ることができない。","該当原材料がFM品質保証部ではVer01に更新されているが、Ver00しかダウンロードできない。原因とトラブル回避方法を教えてほしい。","品質保証システムで確認したところ、7月30日にメーカーに差し戻されているためダウンロードができないとご説明した。","","","","","","FALSE"
"00647","2010/8/4","ユニオンソース","原材料品質保証システム","変更届","バージョンアップし、変更届を出力する前に画面を閉じてしまった","バージョンアップし、変更届を出力する前に画面を閉じてしまった場合、再度変更届を印刷することは可能か。","確認して折り返し。状況照会→原材料変更確認リスト→検索して「変更届出力」にチェックを入れ、印刷して頂くようご案内。","","","","","","FALSE"
"00660","2010/8/5","朝日食品工業","原材料品質保証システム","調達品質情報","検索画面に原材料が表示されない",""原材料が検索画面に表示されない。日本アクセスでは見れると言われたが、メーカー側で見れない状態。これから七田様は会議に入られるとの事で、電話があった場合は折り返ししてくださるとの事。"",""35003700で登録された原材料であるため、3500370002（七田様）のＩＤでは表示されるため、そのＩＤでログインして頂く。35003700も朝日食品工業のメーカーコード。14：50頃、16：10、17：10に連絡を入れたが不通であったため、本社の番号に連絡をしたところ、七田様は外出中との事。上記の結果の伝言を依頼した。"","","","","","","FALSE"
"00664","2010/7/2","エービーフーズ","原材料品質保証システム","調達品質情報","原材料の編集ができない",""原材料CD:359085505の原材料の変更ができない"","引当しているベンダーと商品を確認し、伝えた。引当解除の依頼をして頂く。","","","","","","FALSE"
"00665","2010/7/2","キューピー","原材料品質保証システム","調達品質情報","原材料の編集ができない","食材で編集したい、登録したい原材料があるが、メニュー画面に包材検索しか出てこない。",""現状のフロー、システムでは包材仕入先のキユーピーが原材料を編集することは不可能である為、伊藤忠ケミカルフロンティアに原材料の登録を依頼して頂く。（ケミカルフロンティアでは食材権限もあるため、編集が可能。"","","","","","","FALSE"
"00670","2010/8/5","プリマハム","原材料品質保証システム","食材事前情報","取消された原材料の品質保証書を出したい。","取消された原材料の品質保証書を出したい。","原材料の品質保証書は取消されていても出力は可能である事を説明。また、ダウンローﾄﾞされた品質保証の左上の「削除」という文字は消せないかとの事だが、既に削除された原材料であるため文字は表記されたままである事を説明。再度使用するとの事であれば、また新規で登録をして頂く。","","","","","","FALSE"
"00674","2010/8/6","正興食品","原材料品質保証システム","差戻しメール","差戻しメールが届いていない",""7/２３に日本アクセスからメーカーへ差戻されたメールが届いていない。IDは0050016101７/２３に日本アクセスにはメールが届いているとのこと。７月上旬にも同様の事があった。"",""ユーザマスタを確認、7/13登録、ライセンス、権限：メーカー、所属：正興食品（00500161）登録メールアドレスに問題ない（他の佐藤様の登録メールアドレスと同じ）ため届くと思われる。10日ユーザマスタに登録されているメールアドレスへテスト送信を試みたところ受信可能。メールソフトのごみ箱にもなかったとのこと。【開発調査結果】二次開発時のバグで2010年度に登録したメーカーで発生していた。一時対応として、メーカー登録年度を2009年度へ変更し、対応。プログラム修正を行う予定。"","","","","","","FALSE"
"00679","2010/8/6","日本アクセス","原材料品質保証システム","調達品質情報","取消日を無くしてほしい",""取消日を無くしてほしい。沖縄のメニューで原材料の引当てを行いたいが、取消日が入力されているため、取消日を無しにしてほしい。原材料：Ｓガーリックあらびき（ＣＤ：350786401）"",""8/4取消日が入力されていることを確認。取消日が過ぎており、バージョンＵＰもできないため新規に原材料登録が必要なことをご説明。日本アクセス様からは、一時的に引当てができないようにするために取消日対応を行っているとのこと。"","","","","","","FALSE"
"00694","2010/8/9","ファーストフーズ","その他","ログイン","アカウントロックがかかってしまい、ログインができない","アカウントロックがかかってしまい、ログインができない。。","ＩＤをお聞きしたところ、規格書のＩＤとは異なるＩＤであったため、システムを確認したところ、ファミリーマートの暫定データを修正するシステムで、ＵＲＬはHttps://www.cpfr.family.co.jp/zantei/top/view.doである事を確認。他社のシステムだと思われる。スミスで扱っているシステムではないという事をお伝えした。","","","","","","FALSE"
"00704","2010/8/10","朝日食品工業","原材料品質保証システム","ログイン","パスワードを知りたい","外出先から、ログインしようとした際、パスワードを控えてくるのを忘れた。会社コードは35003700である。","パスワードについては、今一度、確認して頂くか、もしくは、日本アクセス本社様へ確認して頂く。","","","","","","FALSE"
"00706","2010/8/10","あじかん","原材料品質保証システム","","引戻しができない","調達情報が規格書になっている為、メーカー側で引戻しボタンを押下したが、エラーメッセージが表示されて、出来ない。メッセージ内容は覚えていない。品質情報は既にメーカー側へ差戻し状態にある。","メーカー側と同様にログインし、状態を確認し、上記内容を確認。通常は引戻し可能である為、開発課へ確認。申請時に別担当もしくは別ＩＤで申請している事が考えられる。複数の申請履歴がある事と、移行データである。メーカーへ了承を頂き、一時保存状態にし、編集可能状態にし対応。","","","","","","FALSE"
"00711","2010/8/11","本井海苔","原材料品質保証システム","調達品質情報","開発ベンダーを変えたい","原材料の開発ベンダーの欄を変更したいがどうしたらいいか","バージョンアップを行い、ベンダー欄を変更して頂く。操作説明。","操作","","","","","FALSE"
"00712","2010/8/11","昭和産業","原材料品質保証システム","差戻し","差戻し依頼をする開発ベンダーを知りたい","差戻し依頼する開発ベンダーを知りたい。","原材料から商品検索画面にて確認。対象商品管理ＮＯ0909100706006　　　　　　　開発ベンダー　トオカツフーズ　　　商品名トマトソースバーガー　調理パン　　　　　　メーカーご担当者様へ上記内容をお伝えし、開発ベンダーへ連絡して頂くようご案内。","","","","","","FALSE"
"00721","2010/8/13","富士通商","原材料品質保証システム","6ヶ月不動在庫","6ヶ月不動在庫の一覧に先月から同じ原材料が載っている。消されない理由があるのか。",""6ヶ月不動在庫の一覧に先月から同じ原材料が載っている。原材料が消されない理由があるのか。　⇒ＣＤ：550668606（中国クリンクルキャロット）また、終了しているのに削除対象に上ってこない原材料がある。⇒550668101（カットほうれん草ＩＱＦ）"",""ＣＤ：550668606（中国クリンクルキャロット）⇒取消日は過ぎているが、適用日が2999/12/31CD：550668101（カットほうれん草ＩＱＦ）⇒取消日が入力されていない。※いずれもバージョンアップ可能な状態であるため、適用日修正、取消日削除で対応して頂く。16日１０：４２、１６：２０、１７：１０電話をしたが繋がらず。17日西平様休暇との事。18日西平様へ上記の内容を回答し、対応完了。"","","","","","","FALSE"
"00724","2010/8/13","伊藤ハム","原材料品質保証システム","調達品質情報","原材料の編集ができない","原材料の編集ができないので、引当している開発ベンダーを教えてほしい",""引当しているベンダーがない事を確認、メーカー側で引当ボタンが表示されている事を確認。引戻しボタンを押して頂くよう説明。外出から戻ったら行うとの事。"","","","","","","FALSE"
"00725","2010/8/13","フジデリカ新宮","原材料品質保証システム","差戻し","メーカーから原材料の編集が出来ないと問合せが入った","メーカーから原材料の編集が出来ないと問合せが入った。商品に引当ては、していない。","メーカー側画面でログインし確認したところ、引戻しボタンが表示されている為、メーカー側で引戻しする事で編集可能となる事を説明する。（メーカー名　伊藤ハム）","","","","","","FALSE"
"00733","2010/8/13","極洋","原材料品質保証システム","ユーザーマスタ","品証で使用しているメールアドレスを変更したい","品証で使用しているメールアドレスを変更したい","日本アクセスへ連絡して頂く。","","","","","","FALSE"
"00738","2010/8/16","兼貞シーケンス","原材料品質保証システム","調達品質情報","原材料が編集できない","原材料が編集できないので引当しているベンダーを教えてほしい。","ポオトデリカトオカツ東灘工場の商品ＣＤ；10172740（具だくさん豚汁Ｄ２）に引当られている事を確認し、伝えた。原価計算書から削除して頂ければメーカーで編集可能になる事を伝えたが、ベンダーで解除方法が判らないと言っていたとのことで判らないのであれば直接ベンダーから連絡頂ければ操作方法をお伝えする事を伝えた。","","","","","","FALSE"
"00740","2010/8/16","シノブフーズ","原材料品質保証システム","ログイン","縮小した状態でウィンドウ固定されてしまう","ログイン画面から画面が縮小した状態でウィンドウが固定されてしまう。最大化も出来ない状態。","スミス内ではプログラムで設定等はしていないことを確認。ＩＥの仕様である事が考えられるため、Ｃｔｒｌ+Ｎボタンを押して頂き、ウィンドウを最大化。その後Ｃｔｒｌを押しながら画面を閉じて頂き、再度ログインを試して頂く。","","","","","","FALSE"
"00745","2010/8/16","日本アクセス","原材料品質保証システム","調達情報","原材料が引当てされている商品の開発ベンダーを知りたい","原材料が引当てされている商品の開発ベンダーを知りたい。本日中に知りたい旨。","新商品規格書システムのViewCreatorのデータ参照一覧内、原材料から商品検索にて、確認。開発ベンダーはポオトデリカ神戸である事を確認し、その旨をご連絡する。","","","","","","FALSE"
"00756","2010/8/18","キユーピー","原材料品質保証システム","調達品質情報登録","編集できない","350579003（ＱＰ中華ドレッシング１５ ）を編集したい。FM、NAに依頼し差戻して貰った。取消日が入力されていると、編集できないと聞いたが、どのようにしたら良いか。","状態が、品質情報は戻っていたが、調達情報が戻っていなかった。引戻しができることを伝え、申請した星様により引戻し操作が必要であることを説明。","操作","","","","","FALSE"
"00759","2010/8/19","東洋冷蔵","原材料品質保証システム","画面","画面が縮小状態で固定されてしまった","ログイン後の画面が縮小状態で固定されてしまい、最大化ができない。","スミス内ではプログラムで設定等はしていないことを確認。ＩＥの仕様である事が考えられるため、Ｃｔｒｌ+Ｎボタンを押して頂き、ウィンドウを最大化。その後Ｃｔｒｌを押しながら画面を閉じて頂き、再度ログインを試して頂く。","","","","","","FALSE"
"00760","2010/8/19","木村海産","原材料品質保証システム","調達品質情報","原材料が編集できない","原材料が編集できないので、引当していると思われるベンダーへ連絡をしたが、していないと言われた。どうしたらいいか。","引当しているベンダーはない事を確認。メーカー側で引戻しボタンが表示されているため、引戻しして頂く。","","","","","","FALSE"
"00761","2010/8/19","木村海産","原材料品質保証システム","引戻し","引戻し操作を行ったが処理されない","560973202（瀬戸内海釜揚げしらす）の引戻し操作を行ったが、処理が終らずに引戻すことができない。","画面を終了（閉じて）再度起動後処理をするよう依頼。後で失敗した場合のログをおうためボタン操作した時間を教えていただくことを合わせて依頼。","PG","","","","","FALSE"
"00764","2010/8/19","グリーンデリカ","原材料品質保証システム","画面","画面が縮小状態で固定されてしまった","ログイン後の画面が縮小状態で固定されてしまい、最大化ができない。","スミス内ではプログラムで設定等はしていないことを確認。ＩＥの仕様である事が考えられるため、Ｃｔｒｌ+Ｎボタンを押して頂き、ウィンドウを最大化。その後Ｃｔｒｌを押しながら画面を閉じて頂き、再度ログインを試して頂く。","","","","","","FALSE"
"00775","2010/8/23","日本アクセス","原材料品質保証システム","調達品質情報","親コードに取消日が入っている","子の原材料（ＣＤ：510194008）を使用したいが、親の原材料（ＣＤ：510193895）に取消し日が入っている。これは取消し日を削除しないと使用できないか。また、子の原材料（ＣＤ：510188205）に取消日が入っているが、こちらは使用しないので問題ないと思われる。","親コードを引当する際、取消日が入ってると登録時にエラーが発生するため、バージョンアップで取消日を抜いて頂く必要がある事を説明する。また、ＣＤ：510188205は親子関係が取消しされているため取消日が入力されているが問題ない。","","","","","","FALSE"
"00785","2010/8/23","兼貞シーケンス","原材料品質保証システム","調達品質情報","原材料の編集をしたい","原材料の編集をしたいが、編集ボタンが表示されない。引当しているベンダーを教えてほしい。","ファーストフーズと丸茂食品にて引当されているため、引当解除の依頼を出して頂く必要がある事を伝えた。","","","","","","FALSE"
"00787","2010/8/24","日本製粉","原材料品質保証システム","差戻し","差戻し依頼をする開発ベンダーを知りたい","原材料の差戻し依頼をする開発ベンダーを知りたい。","商品規格書側、データー参照一覧にて原材料から商品検索機能にて確認。対象商品の開発ベンダーはトオカツフーズ。（商品名　1/2日分の野菜スープ　10210970）","","","","","","FALSE"
"00789","2010/8/24","伊藤ハム","原材料品質保証システム","","原材料の内容変更を行いたいがどうしたら良いのか","原材料の内容変更を行いたいがどうしたら良いのか","品証側の状態を確認。承認済みである為、メーカー側でバージョンアップボタンを押下して頂くよう説明。","","","","","","FALSE"
"00798","2010/8/25","グローバルチーズ","原材料品質保証システム","画面","画面が縮小状態で固定されてしまった","1ヶ月前から、ログイン画面以降の画面が縮小状態で固定されてしまっている。","スミス内ではプログラムで設定等はしていないことを確認。ＩＥの仕様である事が考えられるため、Ｃｔｒｌ+Ｎボタンを押して頂き、ウィンドウを最大化。その後Ｃｔｒｌを押しながら画面を閉じて頂き、再度ログインを試して頂く。","","","","","","FALSE"
"00800","2010/8/26","トオカツフーズ","原材料品質保証システム","","引当した原材料の価格を変更前のもので引当したい",""引当した原材料の価格を変更前のもので引当したい。最新ＶＥＲで引当てすると、変更後の価格で引当てされる。どう対応すれば良いのか？"","現状は2000円。9/16納品から1890円が最新ＶＥＲ。この場合は、規格書側の原価計算書にて引当登録の金額を選択し、手入力して登録して頂くよう説明。","","","","","","FALSE"
"00801","2010/8/26","日本アクセス品管","原材料品質保証システム","調達品質情報","原材料メーカで編集できるようにしてほしい","原材料メーカーで編集ができるようにしてほしい","9/6ハンバーグ＆チキン南蛮弁当（06113670）で最新Ｖｅｒ03が引当られているため引当解除が必要であることを説明し対応。","操作","","","","","FALSE"
"00804","2010/8/26","小浅商事","原材料品質保証システム","調達品質情報","バージョンアップができない",""ネット重量を入力したいが、バージョンアップができない。（価格変更はしないとのこと）いずれも現在、使用している商品。原材料CD:030400405、0702、0801、1006、3109、4304、4403、4502、030411302状態は承認済だが、バージョンアップボタンが表示されない。"",""メーカー権限でバージョンアップボタンが表示されていないことを確認。開発課で調査中。シロイ様に連絡、明日中に処理を行いたいとのことで、明日再度連絡することで了承を頂く。27日原因判明。スミス側でバージョンアップを行い、一時保存状態にしてメーカーで編集をして頂くよう説明。※アイテム1つに原材料コードに誤りがあった為、志礼様確認後に対応を行い、留守番電話へ完了報告。原因：移行データ且つ、子の原材料で発生する事象。子の原材料はフローを見てバージョンアップをしているが、移行データのフローはおかしいため。"","","","","","","FALSE"
"00812","2010/8/27","かねふく","原材料品質保証システム","調達品質情報","原材料の修正をしたいが引戻しができない","原材料の修正をしたいが引戻しができない。開発ベンダーには差戻しをお願いしてあるが、まだ引戻しできない状態。","ポオトデリカトオカツ神戸で0808100805001に引当られていることをお伝えした。引当解除の依頼をして頂く必要がある。","","","","","","FALSE"
"00822","2010/8/30","大森屋","原材料品質保証システム","調達品質情報","原材料のバージョンアップができない","ネット重量を入力したいが、バージョンアップができない。いずれも現在、使用している商品。原材料CD:030801004、030803503、030804005、030807006、030808003バージョンアップボタンが表示されない。",""メーカー権限でバージョンアップボタンが表示されていないことを確認。開発課で調査中。インシデント804と同現象。スミス側でバージョンアップを行い、一時保存状態にしてメーカーで編集をして頂くよう説明。原因：移行データ且つ、子の原材料で発生する事象。子の原材料はフローを見てバージョンアップをしているが、移行データのフローはおかしいため。"","","","","","","FALSE"
"00832","2010/8/31","キユーピー","原材料品質保証システム","調達品質情報","原材料を引戻する時にエラーがでる","取消し日を抜きたいので、編集を行いたいが、原材料を引戻する時にエラーがでる。エラー詳細：「承認種別の取得に失敗しました。」。申請を上げた岡様のIDで引戻しをしたとの事。","開発課へ確認。移行時の不具合で、フローがおかしくなっているとの事。対応としては、今橋様了承後、スミス側でフローを消して一時保存状態にした。メーカー権限で一時保存状態になっている事を確認し、今橋様へ連絡。留守番電話に切り替わっていたため、留守番電話に完了報告を行った。","","","","","","FALSE"
"00834","2010/8/31","春雪さぶーる","原材料品質保証システム","調達品質情報","改行文字が含まれますというエラーがよく出る","製造工程を入力し、登録をした時に改行文字が含まれます、というエラーがよく表示されるが、これはどの様なエラーなのか。","改行文字（キーボードのエンターや改行キーを押した時に出る空欄）が文章に含まれている時に発生するエラー。見分け方としては文章の最後にカーソルを持っていった時に文字の後ろではなく、空欄の後ろにカーソルがきている場合は改行文字が含まれるため、削除して頂く。","","","","","","FALSE"
"00835","2010/8/31","タカキベーカリー","原材料品質保証システム","調達品質情報","原材料の編集をしたい","019068244と019068343を編集したいが出来ない。","両商品とも引戻しボタンが表示されているため、操作方法の説明を行った。","","","","","","FALSE"
"00837","2010/8/31","日本アクセス","原材料品質保証システム","原材料引当て","開発ベンダーにて原材料引当てができない。","原材料のステータスをメーカーまで引戻したいができない。現状、取消日8/16が入力されているため、開発ベンダーにて原材料引当てができないため。","品質保証システムで確認。調達情報のステータスは「商品規格書」となっており、本原材料のＶｅｒ３は、いずれのメニューにも引当てられていない。日本アクセスの岸本様が承認となっており、引戻しボタンがあるため押して頂き対応。","","","","","","FALSE"
